date,rating,role,location,title,body,pros,cons,work_life_balance,pay_and_benefits,job_security,management,culture
,,,,Good place but hectic,"Benefits and the team is great, first two years were just a dream come true. But slowly the business and the amount of people you see on daily basis wears you off",,,,,,,
,,,,Good culture,"Pros:

Innovative, fast-paced environment
Top-tier colleagues & learning opportunities
Competitive benefits & career growth
Cons:

High workload, demanding expectations
Work-life balance can be challenging
Cross-team communication could improve",,,,,,,
2025년 3월 14일,1,iPhone Repair Technician (전 직원),"New Albany, IN",Apple sucks,"A typical work day? Sucked.
What's something I believe I learned? That Apple sucks. Management - sucks. Work culture - sucks. The hardest part of the job - sucking off Apple. The most enjoyable part of the job - quitting.",None,Too many,,,,,
2025년 3월 14일,1,Sales Specialist (전 직원),"Glasgow City Centre, Glasgow",Great perks bad environment,"Worked here for over a year, let's just say colleagues show their true colours over time. management, yeah they are mostly related to one another so if you fall out with one you fall out with them all. culture is very toxic, all about numbers, approach, FEEDBACK oh its a word used to berate you, make you know you they are incharge, management either they are there for a few minutes or gone into the office and never to be seen again.
typical day at work:
downloads - aka whats new, stats, who's working that day etc etc
look at your rota where are you meant to be
sell till your legs collapse
need help good luck finding it as management won't be there to support
end of shift
go for a pint and repeat the next day",discount,"management rasism, no support, toxic enviroment, staff shortage, culture and much more",,,,,
2025년 3월 13일,5,Specialist (전 직원),,"Good place, very interesting colleagues","Many talented colleagues, young and active. a good place to start with. Also the management team is very supportive. fun vibe, cool products, and sometimes cute clients.",,,,,,,
,,,,Lieu de travail amusant,"Travailler chez Apple, c'est évoluer dans un environnement où l'innovation, l'excellence et l'attention aux détails sont au cœur de chaque projet. L’entreprise valorise la créativité et la collaboration, nous poussant sans cesse à repousser les limites pour offrir des produits et services qui transforment la vie des utilisateurs. L’écosystème Apple est conçu pour garantir une expérience fluide et intuitive, et en tant qu’employé, on ressent une vraie fierté à contribuer à cette vision. L’exigence est grande, mais elle s’accompagne d’un fort esprit d’équipe et de ressources pour se surpasser. Chaque jour apporte de nouveaux défis stimulants, dans une culture d’innovation constante. L’engagement envers la qualité et le souci du détail sont omniprésents, rendant chaque projet passionnant et impactant. Faire partie d’Apple, c’est participer à une aventure qui façonne l’avenir de la technologie.",,,,,,,
2025년 3월 12일,4,Desktop Support Engineer (전 직원),"Sunnyvale, CA",Worth every minute.,"What is the best part of working at the company?
The people I've worked with and the opportunity to learn things to make me a better support tech.

What is the most stressful part about working at the company?
The frustration of users who, if asked more than one question at a time via email or chat, answered only the first question, forcing me to repeat the other question(s), thus increasing the time needed to resolve issues. The stress is often compounded by users working in a different time zone, sometimes overseas.

What is the work environment and culture like at the company?
Generally agreeable: relaxed, informal, with many opportunities to learn and grow in one's job.

What is a typical day like for you at the company?
Supporting onsite and remote users with with issues ranging across the spectrum of desktop support and IT: hard-/software problems, Wi-Fi, printing, VPN, on-/off-boarding of seasonal contractors, inventory, ""smart hands"" help in the server room.",,,,,,,
2025년 3월 12일,4,Sales Expert (전 직원),"Syracuse, NY",Apple Syracuse Specific Review,"I have learned several soft skills and leadership skills at Apple that will continue to live imprinted on my brain, I have learned nothing negative at apple or anything that I haven't applied to my everyday life even now, yet the management at Apple Inc during my employment was changing so often it often caused a lot of confusion among the Syracuse store.",,,,,,,
2025년 3월 12일,5,Especialista en ventas (전 직원),,Muy buena empresa,La verdad es que fui medio tiempo ahí y excelentes prestaciones y sueldo solo que si hay un poco de favoritismo para algunas cosas,,,,,,,
,,,,Meh,Great if you ever get to be full time... not so great if you're a contractor. And you'll never get full time as a contractor so honestly just don't bother.,,,,,,,
2025년 3월 11일,4,Manager (전 직원),"Los Angeles, CA",Overall Great!,"Good pay
Good benefits
Good people
Good hours
Good work life balance
Overall my experience and career with apple has been amazing. Only thing I wish was that the culture was a bit more diverse in terms of communication and there was faster and more room to grow in terms of promotion",,,,,,,
2025년 3월 10일,5,UX Designer (전 직원),California,great,"Title: Dream Start for a UX Newbie!

Apple was a whirlwind of innovation and learning! As an entry-level UX Designer, I was immediately immersed in projects that pushed my creative boundaries. The sheer scale and impact of the products I touched were incredible. The collaborative environment was inspiring; I learned so much from experienced designers who were always willing to mentor. The focus on meticulous detail and user-centered design was ingrained in every project. While the pace was fast, the resources and support provided were exceptional. I felt empowered to contribute my ideas and saw them come to life. A truly transformative experience that set a high bar for my career. Highly recommend for any aspiring UX designer looking to learn from the best!",,,,,,,
2025년 3월 9일,5,Sales and Customer Service Specialist (현 직원),"Waterloo, ON",Very lively workplace with lots to learn and much room for growth.,"What is the best part of working at the company?
Bein able to be open and honest with easy ability to move up.

What is the most stressful part about working at the company?
Dealing with maintaining numbers while continously staying positive with customers

What is the work environment and culture like at the company?
Very happy and healthy. A lot of friends to make.

What is a typical day like for you at the company?
Open with a meeting, deal with your area of responsibility, 3 breaks on a full-time day ; 2 15 mins and a full hour break unpaid. Quite nice and simple.",,,,,,,
2025년 3월 8일,5,Call Center Customer Service Representative (전 직원),"Arizona City, AZ",Ambiente laboral divertido,"Mucha atención al cliente es un trabajo que permaneces ocupado todo el
Día y el tiempo de trabajo se te hace corto",Mucho aprendizaje en atención al cliente,Tiempos de descanso cortos,,,,,
,,,,Great pay,Great pay for a diploma graduate. I enjoyed working there and learning the culture. Training opportunities were vast. Would dedication work there agai.,,,,,,,
2025년 3월 7일,5,Manager (현 직원),Dublin,Fun workplace,I worked in the cafe as a catering assistant and floor staff. The manager is so supportive and kind. Even as a busy time of the Christmas she was very patient and helpful.,,,,,,,
2025년 3월 7일,5,Specialist (전 직원),"Calgary, AB",Fun workplace,Good management and flexible schedule. You can control your own schedule. Work-life balance. Higher paid than others in retail market. The best workplace ever,,,,,,,
,,,,Fun workplace,Nice people there and friendly costumers teachers you how to communicate effectively and there are a lot of benefits that come alongside apployment…..,,,,,,,
2025년 3월 6일,5,Apple service (전 직원),"Bellevue, WA",Helpful,Apple service at bellevue has always been extremely helpful and timely for me. Every time I have needed to speak with someone and fin out the issue i have been able to quickly.,,,,,,,
2025년 3월 6일,3,AppleCare (전 직원),"Ocala, FL",Great Benefits but no one is safe,"I have nothing but wonderful things to say about Apple is a company. In general benefits are great pay is great support is great but if you do have any issues, they have no problem terminating you.","work place, flexibility, shuttle to almost everywhere, job security, good pay","work life balance, too many late evening meeting",,,,,
2025년 3월 6일,3,AppleCare (전 직원),"Ocala, FL",Great Benefits but no one is safe,"I have nothing but wonderful things to say about Apple is a company. In general benefits are great pay is great support is great but if you do have any issues, they have no problem terminating you.",,,,,,,
2025년 3월 6일,2,Technical Support (전 직원),Remote,I hate this job,"The worst place I’ve ever worked for the customers SUCKS the managers complain about the reviews as if we get paid enough to try to make every single miserable customer happy with these terrible products. It’s overwhelming, they don’t pay enough and it’s impossible to even get a good shift, I’ve been working night shift ever since I got this job when I originally asked for MORNING. I dread clocking in to this job. they don’t care about your mental health it’s just back to back calls all day every single day with incompetent people",none,Everything,,,,,
2025년 3월 5일,5,Sales Assistant (전 직원),,Fun workplace,"Working at the Apple Store is a mixed bag— exhilarating yet demanding. The vibe is electric, with cutting-edge tech and a diverse, passionate team that feels like family. Pay is solid for retail, often starting above average, and perks like health benefits, stock options, and product discounts sweeten the deal. Training is thorough, focusing on customer connection over hard sales, which suits tech enthusiasts who love problem-solving. The downside? It’s relentless—high customer volumes, especially during launches, mean you’re always on. Management can be hit-or-miss; some are supportive, others micromanage or push metrics over experience. Growth opportunities exist but can feel stagnant in retail roles. It’s ideal for students or those craving a dynamic gig, but the chaotic pace and occasional entitled customers test your patience. Still, the Apple prestige makes it a standout resume booster.",,,,,,,
2025년 3월 4일,4,Technical Specialist II (전 직원),"Grand Rapids, MI",Great job for some.,"Overall a different retail environment, hit your metrics and they will mostly leave you alone. Always pushing you to be “your best” to the point of toxic positivity. Management is tolerable and if you put yourself to the task there is much to learn and unlearn regularly. Overall recommend working there if you enjoy talking to people.",,,,,,,
2025년 3월 4일,4,Machine Learning Engineer (전 직원),"Seattle, WA","Great people, complicated culture","Apple is not one company, but rather 150 docent companies all working under the same roof. Due to the secrecy and compartmentalizatio, many efforts are duplicated and nobody knows what other teams are doing.",,,,,,,
2025년 3월 3일,5,Specialist (현 직원),"Carlsbad, CA",Sales Specialist Apple,Good job with fair pay and really great benefits. You are expected to meet sales goals such as Apple Care Plus and Business Introductions. Moving up can be challenging however there is a lot of competition to find new roles.,- great health benefits and employee stock options,"it is a sales role so expect to have conversations about meeting KPI's, it can be challenging to move up",,,,,
2025년 3월 3일,5,Sales Representative (전 직원),Remote,Productive and positive,"I enjoyed my time working here. The managers and everyone is so friendly. The customers on the other hand can be a bit aggressive at times but for the most part the calls were easy to resolve. In the sales department you have to be familiar with all of the Apple products since the customers call in wanting you to describe differences between devices before deciding on a purchase. Everything is right on the website so answering any questions were fairly easy to do by just researching. Pay was fair, I loved that they offer plenty overtime so my checks were always decent.",,,,,,,
2025년 3월 3일,5,Seasonal Product Specialist (전 직원),"Short Hills, NJ",Be a good Apple,"Clock in get briefed on new products or services review team efforts and store efforts. Management was open, but you couldn’t help to notice that there may have been a hidden agenda. most enjoyable was meeting and helping the customers connecting with them on different levels.","Support, the staff wa awesome.",Finding schedule replacement when needed.,,,,,
2025년 2월 28일,5,Specialist (전 직원),Southampton,Spectacular,"What is the best part of working at the company?
The team has been the best part about working for Apple. Knowing that you can build great connections with them and there’s no distinguish between yourself and management. everyone is treated equally regardless. The company really looks after you

What is the most stressful part about working at the company?
I would say the most stressful part is product launches but then that’s still hard as teamwork makes the dream work and reduces stress

What is the work environment and culture like at the company?
Diverse and inclusive allowing for a no discrimination workplace

What is a typical day like for you at the company?
Fun enjoyable and great to talk about tech to customers",,,,,,,
2025년 2월 28일,5,Advertising/Partner Marketing Finance Geo Lead | WW Sr. Financial Analyst (현 직원),"Cupertino, CA",Great company to work for,"Depending on your role, but the work-life balance has been more than ideal. Downside is you may have to give it up to climb the ladder. But overall, if you get culture fit with the company, you quite often meet nice people in there.",Work-life balance,Need to give up work-life balance to get promoted,,,,,
2025년 2월 27일,5,Specialist (전 직원),"New York, NY",Good place to work,Good place to work. Good pay and perks. Make sure to take advantage of your perks. Everyone helps each other and supports each other. Training is stellar.,,,,,,,
2025년 2월 27일,1,Spécialiste (전 직원),Saint-Laurent-du-Var (06),Aucune culture ni de savoir être,"Mon expérience au sein de cette entreprise a été extrêmement décevante. L’environnement de travail est toxique, marqué par un manque total de bienveillance et de reconnaissance. On nous parle constamment de « savoir-être », mais cet état d’esprit n’est absolument pas appliqué par l’encadrement.

La plupart des managers ne maîtrisent pas les procédures et il est très difficile d’obtenir des réponses claires à nos questions. Lorsqu’on sollicite un collègue ou un manager, les informations sont souvent erronées ou on nous renvoie vers une autre personne, tout aussi perdue.

Certaines responsables adoptent une attitude passive et désengagée, incapable de fournir un réel soutien. De plus, le harcèlement moral et la propagation de rumeurs semblent être des pratiques courantes pour écarter les employés qui ne conviennent pas à la direction.

Je déconseille fortement cette entreprise à toute personne recherchant un environnement professionnel sain, formateur et respectueux.",,,,,,,
2025년 2월 26일,5,Sales Assistant (전 직원),"Birmingham, West Midlands",Good Place to work,"Nice team who are helpful and get along well, managers can be patronising and pushy, but they treat you well. Good working hours and are flexible if you communicate in advance. Good job",,,,,,,
2025년 2월 26일,4,Genius (현 직원),"Paramus, NJ",Really good benefits and great scope in developing,"The companies values are great and adaptable. I think the compensation package overall is likable. (health care, stocks, well being programs) I would speak very loudly about your eagerness to grow or else you won't move up",,,,,,,
2025년 2월 26일,2,T2 media services (전 직원),Remote,Ups and downs,The company has decent pay and great benefits but the workload is heavy and you are severely micromanaged. There are also really good managers and really bad ones.,,,,,,,
2025년 2월 26일,1,Advisor Concentrix (현 직원),"Farmington Hills, MI 48331",Would be an awesome job if we got paid appropriatly!,"What is the best part of working at the company?
I like the job, but no opportunity for a raise unless you move to another higher department and take on more work.

What is the most stressful part about working at the company?
The customers screaming at me and expecting too much.

What is the work environment and culture like at the company?
The work environment is great, I work at home.

What is a typical day like for you at the company?
Not bad, it could be worse. I work from home, but don't make near as much as I should make!",,,,,,,
2025년 2월 25일,4,Technical Support (전 직원),"New York, NY",Good experience,"The pay was good, a lot of cool coworkers very busy most of the time so the time passes will need to just be a fav of managers to get any kind of promotion",,,,,,,
2025년 2월 25일,4,asesor de ventas (현 직원),"Culiacán, Sin.",Buena empresa,"Es buena empresa si lo que buscas es comisionar por ventas, ya que dependiendo tu venta es lo que ganas. Lo malo son muchas horas al día pues es tiempo completo y solo 1 dia de descanso entre semana, aveces se torna aburrido por la poca afluencia de clientes dependiendo la sucursal",,,,,,,
2025년 2월 25일,5,Customer Service (전 직원),New South Wales,good,"very good air con, nice decoration, definitely recommended, have been a fan since 2010, just got a new iphone and it is very nice, can't wait to use it",,,,,,,
2025년 2월 24일,4,Lead Hardware Engineer (현 직원),"Cupertino, CA",Great company to work; however politics at work is catching up,"Lot of meeting every day, specially if you work on next year project.
Technical work load is not bad, but there are higher and higher expectation on presentation which in my opinion is waste of time","work place, flexibility, shuttle to almost everywhere, job security, good pay","work life balance, too many late evening meeting",,,,,
2025년 2월 24일,5,Specialist (전 직원),"Houston, TX",Apple Fanboy,Positive working environment. Encourage to be informative source for customers. Not a commission based specialist position was helpful in not pressuring customers to buy now.,Not a commission based specialist position was helpful in not pressuring customers to buy now.,Retail hours,,,,,
2025년 2월 24일,5,Specialist (전 직원),"Houston, TX",Apple Fanboy,Positive working environment. Encourage to be informative source for customers. Not a commission based specialist position was helpful in not pressuring customers to buy now.,Not a commission based specialist position was helpful in not pressuring customers to buy now.,Retail hours,,,,,
2025년 2월 24일,4,Coordinadora de Mercadotecnia (전 직원),Ciudad de México,Buen trabajo con valor curricular,"Es una buena empresa, aprendí muchísimo, tiene sus áreas de oportunidad como algunos sueldos y que en mis tiempos no podías ni salir a la tienda, pero en general es una buena empresa.",,,,,,,
2025년 2월 23일,5,Editor (전 직원),Tokyo,Great working environment,As a map editor I worked by myself and there was no need to communicate with other team members which was quite nice most of the time. Even working from home was allowed and it was perfect.,,,,,,,
2025년 2월 23일,5,Expert (전 직원),"Midvale, UT",Wonderful place to work where your growth depends solely on the effort you’re willing to put in.,"What is the best part of working at the company?
Wonderfully inclusive and passionate culture.

What is the most stressful part about working at the company?
Making sure to create a seamless customers experience while navigating the complex 3rd party systems for activations or switches.

What is the work environment and culture like at the company?
Passionate, inclusive, dedicated

What is a typical day like for you at the company?
Each day was an opportunity to help a customer have an incredible buying experience.",,,,,,,
2025년 2월 23일,5,Student (전 직원),"London, KY",Good company,"Apple is a globally recognized company known for its innovation, quality, and strong brand reputation. The company offers a fast-paced and dynamic work environment with opportunities to grow and develop skills. Many employees appreciate the competitive salary, excellent benefits, and access to cutting-edge technology. However, work-life balance can be challenging, especially in high-demand roles. The company culture is focused on collaboration, problem-solving, and attention to detail, which can be a great fit for those who thrive in structured environments. Leadership varies by department, but overall, Apple maintains a high standard for performance and professionalism. While the company provides great career opportunities, the workload can be intense, and expectations are high. For those who enjoy working in a tech-driven, innovative atmosphere, Apple can be a rewarding place to work.",,,,,,,
2025년 2월 23일,5,vr engineer (전 직원),"Cupertino, CA",Simple and good benefit,"Work-Life Balance at Apple: A Culture of Innovation and Well-being
As a part of the Apple team, I can attest that the company prioritizes work-life balance, recognizing its importance in fostering creativity, productivity, and overall well-being. Apple's culture encourages employees to maintain a healthy balance between their professional and personal lives.
Flexible Work Arrangements
Apple offers flexible work arrangements, including telecommuting options, flexible hours, and compressed workweeks. This allows employees to manage their personal responsibilities, such as family care or education, while still meeting their job requirements.
Employee Wellness Programs
The company provides various wellness programs, including fitness classes, mental health resources, and healthy snack options. These initiatives promote physical and mental well-being, helping employees manage stress and maintain their overall health.
Paid Time Off and Holidays
Apple offers generous paid time off and holiday policies, ensuring employees have ample opportunity to rest, recharge, and pursue their interests outside of work.
Support for Families
The company provides support for families, including parental leave, adoption assistance, and dependent care resources. This helps employees balance their work and family responsibilities, reducing stress and increasing job satisfaction.
A Culture of Respect
Apple's culture is built on respect for employees' personal time and boundaries. Managers and colleagues are encouraged to respect each other's work-life balance, avoiding unnecessary overtime or work-related - 
더보기",,,,,,,
2025년 2월 21일,5,Sales Consultant (전 직원),"London, ON",Productive,Good fun. Managers were alright for a retail job. It’s pretty easy to move up there if you stay on their good sides and sell well. Great benefits. Would recommend,,,,,,,
2025년 2월 20일,5,Cashier (현 직원),"Dallas, TX",Great,Great people and management. The benefits are sooo worth it descent raised as well as company events. Would definitely recommend everyone applying if they see an opening,,,,,,,
2025년 2월 20일,5,Intern (전 직원),SUNNYVALE,Great experience,"Best For: Engineers, designers, product managers, and those passionate about innovation and cutting-edge technology.
🔹 Not Ideal For: Those who prefer slow-paced environments or dislike secrecy and high expectations.",,,,,,,
2025년 2월 20일,5,Product Zone Specialist (전 직원),"Columbus, OH",Great work environment,Managers are great. Probably the best pay in a retail job. Very hard to get a permanent contract and employment with Apple though even if you are good at your job.,,,,,,,
2025년 2월 20일,4,Project Manager (현 직원),"New York, NY",Good working environment,Good technologies to work on and you will get lot of exposure senior management is also very supportive and they also have latest technology to work with,,,,,,,
2025년 2월 19일,5,Technical Specialist (현 직원),"Cambridge, MA",Solid Place to work,Honestly Apple as a whole is one of the best companies I have ever worked for. They have alot of good development in all aspects of business. There's a bunch of managers some really good some less than but overall a good place and good people,,,,,,,
2025년 2월 19일,4,Sales Associate (전 직원),"Glendale, AZ",Clicky groups,"Not bad to work here. The people are friendly enough but they are pretty clicky. Some of the managers are weird about things, but if you just go in to work you'll be fine. Transiting to full time from seasonal is competitive.",,,,,,,
2025년 2월 19일,3,App Reviewer (전 직원),California,"Work hard, play hard","Lots of office politics. Work is very fun, if you’re into doing the same task everyday. Looking for promotion can be a bit tedious and difficult. However, transferring to different departments can be more beneficial.",,,,,,,
2025년 2월 18일,3,Sales Associate (전 직원),"Saskatoon, SK",good,"I had a great experience! The service was excellent, and everything was handled professionally. The staff was friendly and helpful, making the entire process smooth. I would definitely recommend it to others and look forward to coming back again!",,,,,,,
2025년 2월 17일,1,Engineer (전 직원),Connecticut,Hot dog down a hall way,"Working at Apple is dynamic and innovative, offering a collaborative environment with opportunities for growth and creativity, while maintaining high standards of excellence.",,,,,,,
2025년 2월 16일,5,Project Manager (전 직원),"Cupertino, CA",Great,"Apple offers excellent benefits, strong company culture, and growth opportunities. The work is exciting but can be demanding, with work-life balance varying by role. Great for those who thrive in a high-performance environment.",,,,,,,
2025년 2월 16일,5,Repair Engineer (전 직원),"London, Greater London",Fantastic,The facilities here are good and the training is in depth and engaging. People are friendly enough and the job is interesting if you are interested in phones.,,,,,,,
2025년 2월 15일,5,Video Specialist (전 직원),"Austin, TX",Amazing culture and management,Management and co workers are amazing and the compensation is even better. Didnt regret working there at all. Such a fun and great atmosphere to be around.,,,,,,,
2025년 2월 15일,4,Apple Support Advisor (전 직원),"Carson City, NV",Remote Apple Support Rep,It was an interesting job you could work from home. They sent you a mac that had to have it's own room and you couldn't have any other things in there. They were contently monitoring your system and calls as well as video recording. They really cared about their data security. We loved how fast we were able to get to T2 mac support but it seemed impossible to get past without a friend.,,,,,,,
2025년 2월 14일,2,AppleCare At-Home Advisor Australia (전 직원),Australia,Apple’s happy welcoming rhetoric is nothing like the real thing working for them.,"If you get a good team it makes a difference, a lot of mangers are bullies and demand respect because of their position.

Ridiculous micro managing.
You don’t get paid to think, just do your job and shut up.

If you ever have an idea for improvement, a senior manager would generally dismiss your ideas as rubbish but then go on and implement them to upper management as their own idea .
For most, your flexible hours are what they say they are.

Pay rises are only as per the industry increases.

Incentives are cheap yoga mats, caps, cups and t-shirts that are 5 sizes to small or big.

Overall if you can honestly put up with micro managing daily, then go for it.

The only good part is being able to work from home.",Great pay and culture,Holidays. They is no holidays except Christmas and new year,,,,,
2025년 2월 14일,2,AppleCare At-Home Advisor Australia (전 직원),Australia,Apple’s happy welcoming rhetoric is nothing like the real thing working for them.,"If you get a good team it makes a difference, a lot of mangers are bullies and demand respect because of their position.

Ridiculous micro managing.
You don’t get paid to think, just do your job and shut up.

If you ever have an idea for improvement, a senior manager would generally dismiss your ideas as rubbish but then go on and implement them to upper management as their own idea .
For most, your flexible hours are what they say they are.

Pay rises are only as per the industry increases.

Incentives are cheap yoga mats, caps, cups and t-shirts that are 5 sizes to small or big.

Overall if you can honestly put up with micro managing daily, then go for it.

The only good part is being able to work from home.","Work from home, chance of having a great team","Almost impossible kpi’s, micro managing, bullying",,,,,
2025년 2월 14일,5,At home advisor (전 직원),Remote,Fast paced but fun,Great place to work. Great supervisors and good benefits. Fast paced but if organized it is easy to adapt too. Supervisors very understanding and helpful,,,,,,,
